seed,sample_id,role,domain,label,relative_path
0,1,BASE,art_painting,0,art_painting/dog/00001.jpg
0,5,BASE,art_painting,0,art_painting/dog/00005.jpg
0,6,BASE,art_painting,0,art_painting/dog/00006.jpg
0,7,BASE,art_painting,0,art_painting/dog/00007.jpg
0,8,BASE,art_painting,0,art_painting/dog/00008.jpg
0,10,BASE,art_painting,0,art_painting/dog/00010.jpg
0,12,BASE,art_painting,0,art_painting/dog/00012.jpg
0,15,BASE,art_painting,0,art_painting/dog/00015.jpg
0,17,BASE,art_painting,0,art_painting/dog/00017.jpg
0,20,BASE,art_painting,0,art_painting/dog/00020.jpg
0,21,BASE,art_painting,0,art_painting/dog/00021.jpg
0,22,BASE,art_painting,0,art_painting/dog/00022.jpg
0,26,BASE,art_painting,0,art_painting/dog/00026.jpg
0,27,BASE,art_painting,0,art_painting/dog/00027.jpg
0,29,BASE,art_painting,0,art_painting/dog/00029.jpg
0,33,BASE,art_painting,0,art_painting/dog/00033.jpg
0,34,BASE,art_painting,0,art_painting/dog/00034.jpg
0,35,BASE,art_painting,0,art_painting/dog/00035.jpg
0,37,BASE,art_painting,0,art_painting/dog/00037.jpg
0,44,BASE,art_painting,0,art_painting/dog/00044.jpg
0,45,BASE,art_painting,0,art_painting/dog/00045.jpg
0,46,BASE,art_painting,0,art_painting/dog/00046.jpg
0,49,BASE,art_painting,0,art_painting/dog/00049.jpg
0,51,BASE,art_painting,0,art_painting/dog/00051.jpg
0,52,BASE,art_painting,0,art_painting/dog/00052.jpg
0,54,BASE,art_painting,0,art_painting/dog/00054.jpg
0,55,BASE,art_painting,0,art_painting/dog/00055.jpg
0,56,BASE,art_painting,0,art_painting/dog/00056.jpg
0,59,BASE,art_painting,0,art_painting/dog/00059.jpg
0,60,BASE,art_painting,0,art_painting/dog/00060.jpg
0,63,BASE,art_painting,0,art_painting/dog/00063.jpg
0,64,BASE,art_painting,0,art_painting/dog/00064.jpg
0,65,BASE,art_painting,0,art_painting/dog/00065.jpg
0,66,BASE,art_painting,0,art_painting/dog/00066.jpg
0,68,BASE,art_painting,0,art_painting/dog/00068.jpg
0,73,BASE,art_painting,0,art_painting/dog/00073.jpg
0,74,BASE,art_painting,0,art_painting/dog/00074.jpg
0,76,BASE,art_painting,0,art_painting/dog/00076.jpg
0,78,BASE,art_painting,0,art_painting/dog/00078.jpg
0,81,BASE,art_painting,0,art_painting/dog/00081.jpg
0,85,BASE,art_painting,0,art_painting/dog/00085.jpg
0,89,BASE,art_painting,0,art_painting/dog/00089.jpg
0,90,BASE,art_painting,0,art_painting/dog/00090.jpg
0,92,BASE,art_painting,0,art_painting/dog/00092.jpg
0,93,BASE,art_painting,0,art_painting/dog/00093.jpg
0,97,BASE,art_painting,0,art_painting/dog/00097.jpg
0,100,BASE,art_painting,0,art_painting/dog/00100.jpg
0,101,BASE,art_painting,0,art_painting/dog/00101.jpg
0,102,BASE,art_painting,0,art_painting/dog/00102.jpg
0,103,BASE,art_painting,0,art_painting/dog/00103.jpg
0,106,BASE,art_painting,0,art_painting/dog/00106.jpg
0,108,BASE,art_painting,0,art_painting/dog/00108.jpg
0,113,BASE,art_painting,0,art_painting/dog/00113.jpg
0,114,BASE,art_painting,0,art_painting/dog/00114.jpg
0,116,BASE,art_painting,0,art_painting/dog/00116.jpg
0,120,BASE,art_painting,0,art_painting/dog/00120.jpg
0,122,BASE,art_painting,0,art_painting/dog/00122.jpg
0,124,BASE,art_painting,0,art_painting/dog/00124.jpg
0,126,BASE,art_painting,0,art_painting/dog/00126.jpg
0,129,BASE,art_painting,0,art_painting/dog/00129.jpg
0,132,BASE,art_painting,0,art_painting/dog/00132.jpg
0,133,BASE,art_painting,0,art_painting/dog/00133.jpg
0,134,BASE,art_painting,0,art_painting/dog/00134.jpg
0,135,BASE,art_painting,0,art_painting/dog/00135.jpg
0,136,BASE,art_painting,0,art_painting/dog/00136.jpg
0,137,BASE,art_painting,0,art_painting/dog/00137.jpg
0,138,BASE,art_painting,0,art_painting/dog/00138.jpg
0,140,BASE,art_painting,0,art_painting/dog/00140.jpg
0,141,BASE,art_painting,0,art_painting/dog/00141.jpg
0,142,BASE,art_painting,0,art_painting/dog/00142.jpg
0,144,BASE,art_painting,0,art_painting/dog/00144.jpg
0,145,BASE,art_painting,0,art_painting/dog/00145.jpg
0,146,BASE,art_painting,0,art_painting/dog/00146.jpg
0,150,BASE,art_painting,0,art_painting/dog/00150.jpg
0,153,BASE,art_painting,0,art_painting/dog/00153.jpg
0,155,BASE,art_painting,0,art_painting/dog/00155.jpg
0,156,BASE,art_painting,0,art_painting/dog/00156.jpg
0,158,BASE,art_painting,0,art_painting/dog/00158.jpg
0,159,BASE,art_painting,0,art_painting/dog/00159.jpg
0,162,BASE,art_painting,0,art_painting/dog/00162.jpg
0,164,BASE,art_painting,0,art_painting/dog/00164.jpg
0,167,BASE,art_painting,0,art_painting/dog/00167.jpg
0,168,BASE,art_painting,0,art_painting/dog/00168.jpg
0,170,BASE,art_painting,0,art_painting/dog/00170.jpg
0,171,BASE,art_painting,0,art_painting/dog/00171.jpg
0,173,BASE,art_painting,0,art_painting/dog/00173.jpg
0,175,BASE,art_painting,0,art_painting/dog/00175.jpg
0,176,BASE,art_painting,0,art_painting/dog/00176.jpg
0,179,BASE,art_painting,0,art_painting/dog/00179.jpg
0,181,BASE,art_painting,0,art_painting/dog/00181.jpg
0,186,BASE,art_painting,0,art_painting/dog/00186.jpg
0,190,BASE,art_painting,0,art_painting/dog/00190.jpg
0,191,BASE,art_painting,0,art_painting/dog/00191.jpg
0,196,BASE,art_painting,0,art_painting/dog/00196.jpg
0,198,BASE,art_painting,0,art_painting/dog/00198.jpg
0,199,BASE,art_painting,0,art_painting/dog/00199.jpg
0,200,BASE,art_painting,0,art_painting/dog/00200.jpg
0,204,BASE,art_painting,0,art_painting/dog/00204.jpg
0,206,BASE,art_painting,0,art_painting/dog/00206.jpg
0,210,BASE,art_painting,0,art_painting/dog/00210.jpg
0,212,BASE,art_painting,0,art_painting/dog/00212.jpg
0,213,BASE,art_painting,0,art_painting/dog/00213.jpg
0,214,BASE,art_painting,0,art_painting/dog/00214.jpg
0,215,BASE,art_painting,0,art_painting/dog/00215.jpg
0,216,BASE,art_painting,0,art_painting/dog/00216.jpg
0,217,BASE,art_painting,0,art_painting/dog/00217.jpg
0,219,BASE,art_painting,0,art_painting/dog/00219.jpg
0,221,BASE,art_painting,0,art_painting/dog/00221.jpg
0,224,BASE,art_painting,0,art_painting/dog/00224.jpg
0,225,BASE,art_painting,0,art_painting/dog/00225.jpg
0,228,BASE,art_painting,0,art_painting/dog/00228.jpg
0,229,BASE,art_painting,0,art_painting/dog/00229.jpg
0,230,BASE,art_painting,0,art_painting/dog/00230.jpg
0,231,BASE,art_painting,0,art_painting/dog/00231.jpg
0,233,BASE,art_painting,0,art_painting/dog/00233.jpg
0,234,BASE,art_painting,0,art_painting/dog/00234.jpg
0,235,BASE,art_painting,0,art_painting/dog/00235.jpg
0,236,BASE,art_painting,0,art_painting/dog/00236.jpg
0,237,BASE,art_painting,0,art_painting/dog/00237.jpg
0,238,BASE,art_painting,0,art_painting/dog/00238.jpg
0,241,BASE,art_painting,0,art_painting/dog/00241.jpg
0,245,BASE,art_painting,0,art_painting/dog/00245.jpg
0,246,BASE,art_painting,0,art_painting/dog/00246.jpg
0,247,BASE,art_painting,0,art_painting/dog/00247.jpg
0,248,BASE,art_painting,0,art_painting/dog/00248.jpg
0,249,BASE,art_painting,0,art_painting/dog/00249.jpg
0,250,BASE,art_painting,0,art_painting/dog/00250.jpg
0,252,BASE,art_painting,0,art_painting/dog/00252.jpg
0,255,BASE,art_painting,0,art_painting/dog/00255.jpg
0,260,BASE,art_painting,0,art_painting/dog/00260.jpg
0,261,BASE,art_painting,0,art_painting/dog/00261.jpg
0,264,BASE,art_painting,0,art_painting/dog/00264.jpg
0,266,BASE,art_painting,0,art_painting/dog/00266.jpg
0,268,BASE,art_painting,0,art_painting/dog/00268.jpg
0,270,BASE,art_painting,0,art_painting/dog/00270.jpg
0,271,BASE,art_painting,0,art_painting/dog/00271.jpg
0,272,BASE,art_painting,0,art_painting/dog/00272.jpg
0,274,BASE,art_painting,0,art_painting/dog/00274.jpg
0,275,BASE,art_painting,0,art_painting/dog/00275.jpg
0,276,BASE,art_painting,0,art_painting/dog/00276.jpg
0,278,BASE,art_painting,0,art_painting/dog/00278.jpg
0,280,BASE,art_painting,0,art_painting/dog/00280.jpg
0,281,BASE,art_painting,0,art_painting/dog/00281.jpg
0,283,BASE,art_painting,0,art_painting/dog/00283.jpg
0,284,BASE,art_painting,0,art_painting/dog/00284.jpg
0,287,BASE,art_painting,0,art_painting/dog/00287.jpg
0,293,BASE,art_painting,0,art_painting/dog/00293.jpg
0,294,BASE,art_painting,0,art_painting/dog/00294.jpg
0,295,BASE,art_painting,0,art_painting/dog/00295.jpg
0,296,BASE,art_painting,0,art_painting/dog/00296.jpg
0,297,BASE,art_painting,0,art_painting/dog/00297.jpg
0,300,BASE,art_painting,0,art_painting/dog/00300.jpg
0,302,BASE,art_painting,0,art_painting/dog/00302.jpg
0,303,BASE,art_painting,0,art_painting/dog/00303.jpg
0,304,BASE,art_painting,0,art_painting/dog/00304.jpg
0,305,BASE,art_painting,0,art_painting/dog/00305.jpg
0,306,BASE,art_painting,0,art_painting/dog/00306.jpg
0,307,BASE,art_painting,0,art_painting/dog/00307.jpg
0,309,BASE,art_painting,0,art_painting/dog/00309.jpg
0,310,BASE,art_painting,0,art_painting/dog/00310.jpg
0,311,BASE,art_painting,0,art_painting/dog/00311.jpg
0,313,BASE,art_painting,0,art_painting/dog/00313.jpg
