sample_id,domain,label,class_name,source_path,relative_path,sha256,width,height,format,duplicate_content
0,art_painting,0,dog,pic_001.jpg,art_painting/dog/00000.jpg,2811e31bea0a32efbf79c1f1f2717b2e014594dd6504fc2527c4507c8ccbc002,227,227,jpeg,False
1,art_painting,0,dog,pic_002.jpg,art_painting/dog/00001.jpg,7421818367e9c316cb3fac1ca3af0bfe3e9e9c7e2b8f2e950ace0b32ad399878,227,227,jpeg,False
2,art_painting,0,dog,pic_003.jpg,art_painting/dog/00002.jpg,c37b1bb4d29bc534f3e9ee30d733dc3953fea66a463e19a126599ff4ceb6e199,227,227,jpeg,False
3,art_painting,0,dog,pic_004.jpg,art_painting/dog/00003.jpg,56e74dc062a6c151dba0dc908ac6001a50ce6ff6096e19c91042ff1d3eab85bb,227,227,jpeg,False
4,art_painting,0,dog,pic_005.jpg,art_painting/dog/00004.jpg,70ba2e891d943a45def9cf8ed01987c26e90ee5ea841170157a6be09f034da0f,227,227,jpeg,False
5,art_painting,0,dog,pic_006.jpg,art_painting/dog/00005.jpg,9e4a5798da2226cc6261fe372401334aefe4835f6665a8b9c0f6f8715e5f7bf7,227,227,jpeg,False
6,art_painting,0,dog,pic_007.jpg,art_painting/dog/00006.jpg,975b0fb2793c58d40e5a6b4b738d5e01439c2617be11d711e244a9f0b958783a,227,227,jpeg,False
7,art_painting,0,dog,pic_008.jpg,art_painting/dog/00007.jpg,8cab8af5a072d034f0de38d0f7f7422ed985c20f6cf81131df465b9e05775043,227,227,jpeg,False
8,art_painting,0,dog,pic_009.jpg,art_painting/dog/00008.jpg,9b54aa40242c11193e15e8bffb5abee08d62e1e157e1783c6c1cf887e08b3359,227,227,jpeg,False
9,art_painting,0,dog,pic_010.jpg,art_painting/dog/00009.jpg,993e6d48db7695ff7b432759b50b2ec69739966c3d5640de054adc92817017ec,227,227,jpeg,False
10,art_painting,0,dog,pic_011.jpg,art_painting/dog/00010.jpg,e16714f5f6b6e16d952eb095f314d440d353d2b4110da6e7fb53aeccdf89f5f6,227,227,jpeg,False
11,art_painting,0,dog,pic_012.jpg,art_painting/dog/00011.jpg,a66b0a37ae36d172a80d96c2d8e48fbeed6ca70619f87ef0d8784d266565795e,227,227,jpeg,False
12,art_painting,0,dog,pic_013.jpg,art_painting/dog/00012.jpg,4f6f2c872880347d38dd00a7f2d3575862b3b5b4c56db3fa9e6e17253bdc179a,227,227,jpeg,False
