seed,sample_id,split,domain,label
0,1,base,art_painting,0
0,5,base,art_painting,0
0,6,base,art_painting,0
0,7,base,art_painting,0
0,8,base,art_painting,0
0,10,base,art_painting,0
0,12,base,art_painting,0
0,15,base,art_painting,0
0,17,base,art_painting,0
0,20,base,art_painting,0
0,21,base,art_painting,0
0,22,base,art_painting,0
0,26,base,art_painting,0
0,27,base,art_painting,0
0,29,base,art_painting,0
0,33,base,art_painting,0
0,34,base,art_painting,0
0,35,base,art_painting,0
0,37,base,art_painting,0
0,44,base,art_painting,0
0,45,base,art_painting,0
0,46,base,art_painting,0
0,49,base,art_painting,0
0,51,base,art_painting,0
0,52,base,art_painting,0
0,54,base,art_painting,0
0,55,base,art_painting,0
0,56,base,art_painting,0
0,59,base,art_painting,0
0,60,base,art_painting,0
0,63,base,art_painting,0
0,64,base,art_painting,0
0,65,base,art_painting,0
0,66,base,art_painting,0
0,68,base,art_painting,0
0,73,base,art_painting,0
0,74,base,art_painting,0
0,76,base,art_painting,0
0,78,base,art_painting,0
0,81,base,art_painting,0
0,85,base,art_painting,0
0,89,base,art_painting,0
0,90,base,art_painting,0
0,92,base,art_painting,0
0,93,base,art_painting,0
0,97,base,art_painting,0
0,100,base,art_painting,0
0,101,base,art_painting,0
0,102,base,art_painting,0
0,103,base,art_painting,0
0,106,base,art_painting,0
0,108,base,art_painting,0
0,113,base,art_painting,0
0,114,base,art_painting,0
0,116,base,art_painting,0
0,120,base,art_painting,0
0,122,base,art_painting,0
0,124,base,art_painting,0
0,126,base,art_painting,0
0,129,base,art_painting,0
0,132,base,art_painting,0
0,133,base,art_painting,0
0,134,base,art_painting,0
0,135,base,art_painting,0
0,136,base,art_painting,0
0,137,base,art_painting,0
0,138,base,art_painting,0
0,140,base,art_painting,0
0,141,base,art_painting,0
0,142,base,art_painting,0
0,144,base,art_painting,0
0,145,base,art_painting,0
0,146,base,art_painting,0
0,150,base,art_painting,0
0,153,base,art_painting,0
0,155,base,art_painting,0
0,156,base,art_painting,0
0,158,base,art_painting,0
0,159,base,art_painting,0
0,162,base,art_painting,0
0,164,base,art_painting,0
0,167,base,art_painting,0
0,168,base,art_painting,0
0,170,base,art_painting,0
0,171,base,art_painting,0
0,173,base,art_painting,0
0,175,base,art_painting,0
0,176,base,art_painting,0
0,179,base,art_painting,0
0,181,base,art_painting,0
0,186,base,art_painting,0
0,190,base,art_painting,0
0,191,base,art_painting,0
0,196,base,art_painting,0
0,198,base,art_painting,0
